# device: diode_1e16_1e16
# benchmark: 1 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_diodes.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-08-25
# tolerance: 0.02
# Na: 1.000000e+16
# Nd: 1.000000e+16
# length: 1.000000e-04
# junction: 5.000000e-05
# devsim h_junction: 2.000000e-07
# devsim h_bulk: 2.000000e-06
# mesh convergence: 6.368e-03 worst relative change in current when every spacing is halved, at -0.5 V
# notes: Symmetric junction, the clean analytic target. Reverse bias is generation limited and forward bias is diffusion limited, so the one sweep exercises both SRH branches.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   contacts:        ideal ohmic, psi from charge neutrality, densities pinned at equilibrium
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, n_i = 1.000000e+10 cm^-3, T = 300.0 K
# columns: anode bias [V], anode current [A/cm^2], cathode current [A/cm^2]
voltage,current,cathode_current
-1,-8.360965963935e-09,8.308133025087e-09
-0.75,-6.987652571455e-09,6.988633885565e-09
-0.5,-5.675171921596e-09,5.732713206313e-09
-0.25,-4.340595506314e-09,4.391267966935e-09
-0.1,-3.426767803956e-09,3.428376193486e-09
0,2.346894315054e-12,-2.429948782248e-11
0.05,1.626034954362e-08,-1.625153407717e-08
0.1,1.217319714877e-07,-1.217376730368e-07
0.15,8.217912629245e-07,-8.217455365179e-07
0.2,5.503782343153e-06,-5.503758356306e-06
0.25,3.689248624516e-05,-3.689253066192e-05
0.3,2.473971249099e-04,-2.473970712052e-04
0.35,1.658137959930e-03,-1.658138002972e-03
0.4,1.109918455198e-02,-1.109918456979e-02
0.45,7.414148057287e-02,-7.414148052279e-02
0.5,4.935367506147e-01,-4.935367506110e-01
0.55,3.260053590745e+00,-3.260053590758e+00
0.6,2.098064682834e+01,-2.098064682832e+01
0.65,1.214678201800e+02,-1.214678201800e+02
0.7,5.206515815988e+02,-5.206515815988e+02
