# device: diode_1e18_1e16
# benchmark: 2 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_diodes.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-08-25
# tolerance: 0.03
# Na: 1.000000e+18
# Nd: 1.000000e+16
# length: 1.000000e-04
# junction: 5.000000e-05
# devsim h_junction: 2.000000e-07
# devsim h_bulk: 2.000000e-06
# mesh convergence: 2.479e-01 worst relative change in current when every spacing is halved, at +0.05 V
# notes: Asymmetric junction. The p side is two decades heavier, so almost all the injection is into the n side and the Scharfetter lifetime differs by a factor of twenty across the junction.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   contacts:        ideal ohmic, psi from charge neutrality, densities pinned at equilibrium
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, n_i = 1.000000e+10 cm^-3, T = 300.0 K
# columns: anode bias [V], anode current [A/cm^2], cathode current [A/cm^2]
voltage,current,cathode_current
0,-4.170274009851e-26,-3.003827536921e-11
0.05,6.340146191425e-09,-6.814999106799e-09
0.1,4.850064182136e-08,-4.750482733329e-08
0.15,3.057132703714e-07,-3.065883784399e-07
0.2,1.984821880527e-06,-1.984954724038e-06
0.25,1.294759161331e-05,-1.294726504307e-05
0.3,8.478086525667e-05,-8.478066206979e-05
0.35,5.559306614015e-04,-5.559301123352e-04
0.4,3.645082830078e-03,-3.645082878987e-03
0.45,2.387104493775e-02,-2.387104490942e-02
0.5,1.559278671170e-01,-1.559278671871e-01
0.55,1.013217567557e+00,-1.013217567726e+00
0.6,6.497887867808e+00,-6.497887867899e+00
0.65,3.996711652797e+01,-3.996711652750e+01
0.7,2.168238051336e+02,-2.168238051336e+02
