# device: diode_1e20_1e15
# benchmark: 3 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_diodes.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-08-25
# tolerance: 0.05
# Na: 1.000000e+20
# Nd: 1.000000e+15
# length: 1.000000e-04
# junction: 5.000000e-05
# devsim h_junction: 2.000000e-07
# devsim h_bulk: 2.000000e-06
# mesh convergence: 5.000e-01 worst relative change in current when every spacing is halved, at +0.05 V
# notes: P+N. docs/04-validation.md lists this one as the degeneracy test. Both codes are run in Boltzmann statistics here, so what it actually measures is agreement at a doping where Boltzmann is already wrong, which is a code comparison and not a physics check. Fermi-Dirac is deferred with the rest of it.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   contacts:        ideal ohmic, psi from charge neutrality, densities pinned at equilibrium
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, n_i = 1.000000e+10 cm^-3, T = 300.0 K
# columns: anode bias [V], anode current [A/cm^2], cathode current [A/cm^2]
voltage,current,cathode_current
0,-3.258026570196e-28,1.331336305018e-12
0.05,4.180124403551e-07,-4.527096379686e-07
0.1,3.135093592570e-06,-3.221380556248e-06
0.15,2.027360840456e-05,-2.017438686520e-05
0.2,1.226867160101e-04,-1.227206405992e-04
0.25,7.321494315387e-04,-7.321581359070e-04
0.3,4.272301906095e-03,-4.272300033179e-03
0.35,2.423710959011e-02,-2.423714679537e-02
0.4,1.325177600550e-01,-1.325177933346e-01
0.45,6.894199059614e-01,-6.894199026172e-01
0.5,3.346775857206e+00,-3.346775847282e+00
0.55,1.473299882249e+01,-1.473299881975e+01
0.6,5.706507048053e+01,-5.706507048239e+01
0.65,1.928407008942e+02,-1.928407009041e+02
0.7,5.825396629669e+02,-5.825396629363e+02
