# device: fullstack_1um
# benchmark: 10 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-15
# tolerance: 0.1
# L_gate: 1.000000e-04
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 8514
# devsim h_junction: 5.000000e-07
# devsim h_channel: 2.000000e-06
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 7.865e-03 worst relative change in drain current when every spacing is halved, at -0.05 V of gate, with 9 of 21 points skipped as unmeasurable
# notes: Gate length 1000 nm at the full Phase 5 model stack, one point of the benchmark 10 trend. The same device as its benchmark 9 sibling and a different set of models, which is what makes the pair worth having: a disagreement that is in both is the geometry, and one that is only here is a mobility model or the statistics.
# models:
#   statistics:      Fermi-Dirac by the Joyce-Dixon series, Nc = 2.860e+19 and Nv = 3.100e+19 cm^-3, series capped at n/Nc = 8
#   transport:       Scharfetter-Gummel in the effective potential psi - V_t ln(gamma), Einstein relation D = V_t * mu
#   mobility:        Arora on the doping, corrected by enhanced Lombardi surface scattering at the node, wrapped in Caughey-Thomas on the edge parallel field with v_sat = 1.070e+07 and 8.300e+06 cm/s and beta = 2 and 1
#   surface term:    frozen within a solve and taken to a fixed point across solves, in both codes
#   source/drain:    ideal ohmic plates on the silicon surface, psi and both densities from neutrality against the degenerate mass action product
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,-1.209290532138e-10,1.209482931230e-10,5.151623107138e-10,-8.380222924522e-11
-0.35,-1.913177549303e-10,1.637763975985e-10,4.651781090794e-10,1.299216001954e-10
-0.3,8.132634455700e-11,1.611888725709e-11,2.483043930386e-11,-2.483283035016e-11
-0.25,2.789051737482e-10,-1.200362150439e-10,5.404022001736e-10,1.137484194525e-10
-0.2,1.372989869260e-10,-3.441719987189e-10,1.454884830718e-09,-4.215806443294e-10
-0.15,1.838069832088e-09,-1.914406226265e-09,2.353771736836e-09,-1.861094731463e-09
-0.1,8.423149176275e-09,-7.965709869475e-09,1.005673388790e-08,-9.406985196452e-09
-0.05,3.862441824288e-08,-3.864875479484e-08,4.579009390867e-08,-4.580011792231e-08
0,1.879904055956e-07,-1.878457631879e-07,2.223923031562e-07,-2.222916150962e-07
0.05,9.179038106994e-07,-9.178983244387e-07,1.087149261142e-06,-1.086877946508e-06
0.1,4.518964573989e-06,-4.518886607886e-06,5.354137180498e-06,-5.353976411275e-06
0.15,2.233289435530e-05,-2.233303837008e-05,2.649511347681e-05,-2.649564703160e-05
0.2,1.091154068183e-04,-1.091154170081e-04,1.299515437184e-04,-1.299515883390e-04
0.25,4.962399687002e-04,-4.962399097182e-04,5.996656363857e-04,-5.996651469888e-04
0.3,1.815146351254e-03,-1.815146165851e-03,2.301682965715e-03,-2.301682452453e-03
0.35,4.711735384662e-03,-4.711735149990e-03,6.650644771830e-03,-6.650645396570e-03
0.4,8.999781149926e-03,-8.999781220368e-03,1.484566769619e-02,-1.484566613223e-02
0.45,1.406776927436e-02,-1.406776927842e-02,2.754207693267e-02,-2.754207721504e-02
0.5,1.947572632310e-02,-1.947572580675e-02,4.501492882167e-02,-4.501492813732e-02
0.55,2.498102775439e-02,-2.498100236195e-02,6.752219805343e-02,-6.722936145931e-02
0.6,3.044818228861e-02,-3.044817833679e-02,9.441738900378e-02,-9.441756783810e-02
