# device: fullstack_50nm
# benchmark: 10 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-15
# tolerance: 0.1
# L_gate: 5.000000e-06
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 7062
# devsim h_junction: 6.250000e-08
# devsim h_channel: 1.250000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 1.091e-02 worst relative change in drain current when every spacing is halved, at -0.4 V of gate, with 0 of 21 points skipped as unmeasurable
# notes: Gate length 50 nm at the full Phase 5 model stack, one point of the benchmark 10 trend. The same device as its benchmark 9 sibling and a different set of models, which is what makes the pair worth having: a disagreement that is in both is the geometry, and one that is only here is a mobility model or the statistics.
# models:
#   statistics:      Fermi-Dirac by the Joyce-Dixon series, Nc = 2.860e+19 and Nv = 3.100e+19 cm^-3, series capped at n/Nc = 8
#   transport:       Scharfetter-Gummel in the effective potential psi - V_t ln(gamma), Einstein relation D = V_t * mu
#   mobility:        Arora on the doping, corrected by enhanced Lombardi surface scattering at the node, wrapped in Caughey-Thomas on the edge parallel field with v_sat = 1.070e+07 and 8.300e+06 cm/s and beta = 2 and 1
#   surface term:    frozen within a solve and taken to a fixed point across solves, in both codes
#   source/drain:    ideal ohmic plates on the silicon surface, psi and both densities from neutrality against the degenerate mass action product
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,4.769049523197e-08,-4.767009669012e-08,2.112211892854e-06,-2.113180810655e-06
-0.35,1.774166352834e-07,-1.772637311497e-07,6.862910619104e-06,-6.863343342082e-06
-0.3,6.639669372546e-07,-6.640215423707e-07,2.291194833352e-05,-2.291170772182e-05
-0.25,2.508522130961e-06,-2.508278281601e-06,7.819262505949e-05,-7.819286103841e-05
-0.2,9.530100127321e-06,-9.530439109540e-06,2.711051421162e-04,-2.711057934330e-04
-0.15,3.628857947283e-05,-3.628890465542e-05,9.475812347547e-04,-9.475817739376e-04
-0.1,1.379647558032e-04,-1.379646329770e-04,3.301150424603e-03,-3.301151322621e-03
-0.05,5.208288739277e-04,-5.208288437948e-04,1.122823494783e-02,-1.122823571688e-02
0,1.932207400639e-03,-1.932207124535e-03,3.579759091280e-02,-3.579759154643e-02
0.05,6.883400755052e-03,-6.883400574953e-03,1.001289846632e-01,-1.001289850858e-01
0.1,2.237759635879e-02,-2.237759632085e-02,2.314550915062e-01,-2.314550921255e-01
0.15,6.104312029131e-02,-6.104312055905e-02,4.401229013437e-01,-4.401229015615e-01
0.2,1.305422533589e-01,-1.305422535249e-01,7.167695331722e-01,-7.167695333915e-01
0.25,2.209183874737e-01,-2.209183872959e-01,1.046018359252e+00,-1.046018360095e+00
0.3,3.149664394607e-01,-3.149664392693e-01,1.414667965581e+00,-1.414667965908e+00
0.35,4.022360200263e-01,-4.022360197114e-01,1.813035881747e+00,-1.813035882497e+00
0.4,4.794651406024e-01,-4.794651403566e-01,2.234217665416e+00,-2.234217665864e+00
0.45,5.467425273222e-01,-5.467425273795e-01,2.673220784020e+00,-2.673220784686e+00
0.5,6.051985272510e-01,-6.051985271897e-01,3.126303816536e+00,-3.126303817322e+00
0.55,6.561110692265e-01,-6.561110692361e-01,3.590569494243e+00,-3.590569495188e+00
0.6,7.006291514723e-01,-7.006291512453e-01,4.063713148313e+00,-4.063713149024e+00
