# device: mos_cap_20nm
# benchmark: 5 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mos_cv.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-08-26
# tolerance: 0.02
# substrate doping: -1.000000e+16
# t_ox: 2.000000e-06
# t_si: 2.000000e-04
# work function: 4.050000e+00
# devsim h_surface: 5.000000e-09
# devsim h_bulk: 1.000000e-06
# devsim oxide cells: 8
# mesh convergence: 4.366e-06 worst relative change in gate charge when every spacing is halved, at +2 V
# notes: Four times the oxide of device 4 and otherwise identical, so the pair separates an error in the oxide from an error in the silicon: only the first moves with t_ox.
# models:
#   statistics:      Boltzmann
#   carriers:        equilibrium, phi_n = phi_p = body bias, no transport
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   interface:       continuity of normal D, which box integration gives for free once each edge carries its own permittivity
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion
#   body:            ideal ohmic, psi from charge neutrality
#   capacitance:     dQ_gate/dV_gate by central difference on the charge, applied identically to both codes
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], gate charge [C/cm^2]
gate_voltage,charge
-2,-1.610160468564e-07
-1.9,-1.446855491855e-07
-1.8,-1.284560024868e-07
-1.7,-1.123504911364e-07
-1.6,-9.640056715195e-08
-1.5,-8.065068353776e-08
-1.4,-6.516569990683e-08
-1.3,-5.004405555926e-08
-1.2,-3.544142042905e-08
-1.1,-2.161199071465e-08
-1,-8.965956367893e-09
-0.9,1.932939208431e-09
-0.8,1.067649478823e-08
-0.7,1.750138936202e-08
-0.6,2.304137010253e-08
-0.5,2.777949462190e-08
-0.4,3.198203420235e-08
-0.3,3.579734350892e-08
-0.2,3.931619444931e-08
-0.1,4.260153839933e-08
0,4.576149202085e-08
0.1,4.994387594034e-08
0.2,5.900741930756e-08
0.3,7.195120496548e-08
0.4,8.644086002041e-08
0.5,1.016561191361e-07
0.6,1.172865891244e-07
0.7,1.331867209592e-07
0.8,1.492769929402e-07
0.9,1.655091214612e-07
1,1.818514891931e-07
1.1,1.982821962302e-07
1.2,2.147854048413e-07
1.3,2.313492646633e-07
1.4,2.479646615553e-07
1.5,2.646244251900e-07
1.6,2.813228064355e-07
1.7,2.980551207664e-07
1.8,3.148174978409e-07
1.9,3.316067012251e-07
2,3.484199957948e-07
