# device: mos_cap_5nm
# benchmark: 4 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mos_cv.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-08-26
# tolerance: 0.02
# substrate doping: -1.000000e+16
# t_ox: 5.000000e-07
# t_si: 2.000000e-04
# work function: 4.050000e+00
# devsim h_surface: 5.000000e-09
# devsim h_bulk: 1.000000e-06
# devsim oxide cells: 8
# mesh convergence: 5.479e-05 worst relative change in gate charge when every spacing is halved, at +2 V
# notes: Thin oxide, so the oxide drop is small and most of the bias lands on the silicon surface. That puts the weight of the comparison on the semiconductor charge rather than on the parallel plate.
# models:
#   statistics:      Boltzmann
#   carriers:        equilibrium, phi_n = phi_p = body bias, no transport
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   interface:       continuity of normal D, which box integration gives for free once each edge carries its own permittivity
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion
#   body:            ideal ohmic, psi from charge neutrality
#   capacitance:     dQ_gate/dV_gate by central difference on the charge, applied identically to both codes
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], gate charge [C/cm^2]
gate_voltage,charge
-2,-5.976097755579e-07
-1.9,-5.326430657708e-07
-1.8,-4.681707857925e-07
-1.7,-4.043219495018e-07
-1.6,-3.412812063721e-07
-1.5,-2.793244224080e-07
-1.4,-2.188860117384e-07
-1.3,-1.606953818815e-07
-1.2,-1.060711658650e-07
-1.1,-5.754997623889e-08
-1,-1.970620536112e-08
-0.9,3.336477372782e-09
-0.8,1.542171374398e-08
-0.7,2.304716904303e-08
-0.6,2.889552484713e-08
-0.5,3.381227168737e-08
-0.4,3.813711961272e-08
-0.3,4.204530820744e-08
-0.2,4.571572539204e-08
-0.1,5.159092761314e-08
0,7.655428425652e-08
0.1,1.220816210997e-07
0.2,1.761472832843e-07
0.3,2.342946320342e-07
0.4,2.948095108615e-07
0.5,3.568653235892e-07
0.6,4.200014730321e-07
0.7,4.839355550171e-07
0.8,5.484822365157e-07
0.9,6.135135177639e-07
1,6.789374002653e-07
1.1,7.446856070523e-07
1.2,8.107061124119e-07
1.3,8.769583886587e-07
1.4,9.434102667656e-07
1.5,1.010035796493e-06
1.6,1.076813747857e-06
1.7,1.143726536842e-06
1.8,1.210759439300e-06
1.9,1.277900005185e-06
2,1.345137614995e-06
