# device: nmos_180nm
# benchmark: 7 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.05
# L_gate: 1.800000e-05
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 6402
# devsim h_junction: 2.250000e-07
# devsim h_channel: 4.500000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 2.207e-03 worst relative change in drain current when every spacing is halved, at +1.1 V of gate, with 0 of 16 points skipped as unmeasurable
# notes: The same process drawn at 180 nm. The lateral encroachment leaves 160 nm of metallurgical channel, so roll-off has started but the device is still comfortably long channel. The lateral spacings are half what they first were, because on this device the columns and not the implant rows carry the mesh error: halving them alone moved the drain current 6.9e-3 of a 7.3e-3 total and halving the rows alone moved it 5.7e-4. At 4.5e-7 the gate spans 40 columns, against the 20 it had and the 50 the 1 um device gets.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
0,1.371851935955e-05,-1.372025514946e-05,1.823402225817e-05,-1.822426551921e-05
0.1,3.307866422777e-04,-3.307862517195e-04,4.444891123688e-04,-4.444824430066e-04
0.2,7.821056545668e-03,-7.821057330536e-03,1.069508958283e-02,-1.069508147412e-02
0.3,1.170981441487e-01,-1.170981434396e-01,1.745272333518e-01,-1.745272286720e-01
0.4,5.131137629938e-01,-5.131137646022e-01,1.026928168452e+00,-1.026928165205e+00
0.5,1.051167364747e+00,-1.051167365536e+00,2.950444706091e+00,-2.950444695204e+00
0.6,1.612773990406e+00,-1.612773989350e+00,6.000385163315e+00,-6.000385158435e+00
0.7,2.167261093841e+00,-2.167261095478e+00,1.014324566915e+01,-1.014324565766e+01
0.8,2.705799988932e+00,-2.705799990060e+00,1.532609820771e+01,-1.532609819719e+01
0.9,3.225612766994e+00,-3.225612769832e+00,2.148943477066e+01,-2.148943476652e+01
1,3.726047355682e+00,-3.726047355261e+00,2.856620762141e+01,-2.856620761674e+01
1.1,4.207318060541e+00,-4.207318060881e+00,3.647202835211e+01,-3.647202834743e+01
1.2,4.670018241199e+00,-4.670018241069e+00,4.508068333630e+01,-4.508068333310e+01
1.3,5.114906070144e+00,-5.114906072256e+00,5.419317783305e+01,-5.419317782906e+01
1.4,5.542801964618e+00,-5.542801962136e+00,6.355545909317e+01,-6.355545909101e+01
1.5,5.954536766585e+00,-5.954536766367e+00,7.293767899342e+01,-7.293767898255e+01
