# device: nmos_1um
# benchmark: 6 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.05
# L_gate: 1.000000e-04
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 8514
# devsim h_junction: 5.000000e-07
# devsim h_channel: 2.000000e-06
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 1.170e-03 worst relative change in drain current when every spacing is halved, at +1.3 V of gate, with 3 of 16 points skipped as unmeasurable
# notes: The long device. At 1 um this process has no short channel effect left in it, so it is the reference the shorter ones are measured against and the one place where a disagreement is about the 2D transport rather than about a barrier.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
0,1.393997479176e-06,-1.392384104310e-06,1.661464593002e-06,-1.649422225227e-06
0.1,3.386410174137e-05,-3.386343947789e-05,4.013399455105e-05,-4.012199986085e-05
0.2,8.265731120717e-04,-8.265767114373e-04,9.843187980657e-04,-9.843086726276e-04
0.3,1.406863986885e-02,-1.406864262221e-02,1.780211996314e-02,-1.780210631438e-02
0.4,7.241180191311e-02,-7.241182604559e-02,1.185276600079e-01,-1.185276512312e-01
0.5,1.626173541112e-01,-1.626173641795e-01,3.705350675210e-01,-3.705350572133e-01
0.6,2.641086648653e-01,-2.641086640324e-01,8.009497178036e-01,-8.009497078590e-01
0.7,3.701091315630e-01,-3.701091312341e-01,1.420477805169e+00,-1.420477800068e+00
0.8,4.781593833381e-01,-4.781593829752e-01,2.234005711312e+00,-2.234005700409e+00
0.9,5.871422974875e-01,-5.871422968522e-01,3.243785767403e+00,-3.243785758440e+00
1,6.964654745468e-01,-6.964654757369e-01,4.450626644381e+00,-4.450626641031e+00
1.1,8.057802216424e-01,-8.057802197451e-01,5.854223750853e+00,-5.854223740472e+00
1.2,9.148658386453e-01,-9.148658370515e-01,7.452394815263e+00,-7.452394803159e+00
1.3,1.023575165305e+00,-1.023575163563e+00,9.237013259392e+00,-9.237013252748e+00
1.4,1.131806316103e+00,-1.131806314259e+00,1.118175265233e+01,-1.118175264142e+01
1.5,1.239486789059e+00,-1.239486791911e+00,1.323562322315e+01,-1.323562321097e+01
