# device: nmos_65nm
# benchmark: 8 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.08
# L_gate: 6.500000e-06
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 6930
# devsim h_junction: 8.125000e-08
# devsim h_channel: 1.625000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 7.720e-03 worst relative change in drain current when every spacing is halved, at -0.2 V of gate, with 0 of 18 points skipped as unmeasurable
# notes: 45 nm of metallurgical channel. This is the DIBL row: the point of it is the gap between the two curves, so the gate sweep starts below zero to hold the off state of both. The lateral spacings are half what they first were, and the columns carry that alone because the rows cannot take up any slack. Halving one axis at a time from the original mesh: columns alone moved the drain current 1.6606e-2 of a 1.964e-2 total, rows alone 2.6789e-3. Halving the rows again is not available, since most of their residual is devsim_h_surface and that is already 6.25e-9, where the next halving is a third of an angstrom and past where a continuum model means anything. The columns converge at order 2.07, taken off the 180 nm device's own before and after pair rather than assumed, so one halving takes their 1.6606e-2 to about 3.9e-3 and leaves the pair near 6.6e-3. A quartering was tried first and its halved mesh check could not be solved in the memory available, 11022 silicon nodes shipping and about four times that to check.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.2,3.439451561111e-06,-3.438460503383e-06,2.459540013387e-05,-2.458901413236e-05
-0.1,6.643162547233e-05,-6.642963134197e-05,4.727137367801e-04,-4.727045436146e-04
0,1.264868799583e-03,-1.264867324492e-03,8.865565187346e-03,-8.865558362349e-03
0.1,2.253128605296e-02,-2.253128482972e-02,1.454006330832e-01,-1.454006193817e-01
0.2,2.813237987420e-01,-2.813238019882e-01,1.365491492311e+00,-1.365491481453e+00
0.3,1.330082477482e+00,-1.330082474571e+00,5.488490514628e+00,-5.488490502206e+00
0.4,2.816033558799e+00,-2.816033559279e+00,1.293252586435e+01,-1.293252585454e+01
0.5,4.256803210008e+00,-4.256803206935e+00,2.324366496358e+01,-2.324366495175e+01
0.6,5.556552178040e+00,-5.556552179666e+00,3.593353044864e+01,-3.593353043402e+01
0.7,6.716765154594e+00,-6.716765154564e+00,5.058895027767e+01,-5.058895026610e+01
0.8,7.754285964922e+00,-7.754285966433e+00,6.684664078011e+01,-6.684664077268e+01
0.9,8.686427945751e+00,-8.686427947108e+00,8.435250667213e+01,-8.435250665974e+01
1,9.528258382208e+00,-9.528258379287e+00,1.027132709840e+02,-1.027132709765e+02
1.1,1.029238244295e+01,-1.029238244058e+01,1.214523373056e+02,-1.214523372942e+02
1.2,1.098925637429e+01,-1.098925637341e+01,1.400243859721e+02,-1.400243859685e+02
1.3,1.162756740053e+01,-1.162756740058e+01,1.579299168316e+02,-1.579299168154e+02
1.4,1.221457042401e+01,-1.221457042075e+01,1.748369591448e+02,-1.748369591373e+02
1.5,1.275636307583e+01,-1.275636307746e+01,1.905995560403e+02,-1.905995560338e+02
