# device: rolloff_100nm
# benchmark: 9 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.1
# L_gate: 1.000000e-05
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 6666
# devsim h_junction: 1.250000e-07
# devsim h_channel: 2.500000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 4.189e-03 worst relative change in drain current when every spacing is halved, at -0.05 V of gate, with 7 of 21 points skipped as unmeasurable
# notes: Gate length 100 nm, one point of the benchmark 9 threshold roll-off trend. Not one of benchmarks 6 to 8: those compare a drain current at every bias to 5 or 8 percent, and this one compares an extracted threshold across gate lengths to 10.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,3.025954240303e-09,-1.559679187437e-09,1.260390819358e-08,-1.560420528600e-09
-0.35,4.849846161904e-09,-3.399723740601e-09,1.625139557736e-08,-3.403244020577e-09
-0.3,8.435834647681e-09,-8.924977888454e-09,2.349258583862e-08,-1.621857008068e-08
-0.25,3.210379328909e-08,-3.280204435044e-08,7.450020212685e-08,-6.206129897695e-08
-0.2,1.485653526710e-07,-1.465155851455e-07,3.000384267752e-07,-2.878567316988e-07
-0.15,6.926468515665e-07,-6.916173462611e-07,1.395611270997e-06,-1.383515860769e-06
-0.1,3.291052312522e-06,-3.290458238518e-06,6.701745770015e-06,-6.691364296757e-06
-0.05,1.574997508815e-05,-1.574883808416e-05,3.253378862871e-05,-3.252390421042e-05
0,7.563365147617e-05,-7.563439312853e-05,1.585573047609e-04,-1.585464193342e-04
0.05,3.636065477980e-04,-3.636046019667e-04,7.731530329873e-04,-7.731446025373e-04
0.1,1.741432938800e-03,-1.741433070863e-03,3.750620164087e-03,-3.750607301724e-03
0.15,8.196620794294e-03,-8.196623514836e-03,1.780979924880e-02,-1.780978690938e-02
0.2,3.635451851859e-02,-3.635452085848e-02,7.895798379151e-02,-7.895797060661e-02
0.25,1.369003145079e-01,-1.369003140114e-01,2.959250937417e-01,-2.959250840345e-01
0.3,3.825321539651e-01,-3.825321554824e-01,8.536281060438e-01,-8.536280937391e-01
0.35,7.747591124847e-01,-7.747591153084e-01,1.903669963699e+00,-1.903669954757e+00
0.4,1.246318217627e+00,-1.246318218715e+00,3.503437334833e+00,-3.503437329547e+00
0.45,1.744236581069e+00,-1.744236578877e+00,5.652595705913e+00,-5.652595698987e+00
0.5,2.243502085461e+00,-2.243502085812e+00,8.329565132157e+00,-8.329565119465e+00
0.55,2.733536110206e+00,-2.733536109076e+00,1.150688552821e+01,-1.150688551635e+01
0.6,3.209921682485e+00,-3.209921679495e+00,1.515641903668e+01,-1.515641902482e+01
