# device: rolloff_200nm
# benchmark: 9 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.1
# L_gate: 2.000000e-05
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 6402
# devsim h_junction: 2.500000e-07
# devsim h_channel: 5.000000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 1.792e-03 worst relative change in drain current when every spacing is halved, at +0.05 V of gate, with 9 of 21 points skipped as unmeasurable
# notes: Gate length 200 nm, one point of the benchmark 9 threshold roll-off trend. Not one of benchmarks 6 to 8: those compare a drain current at every bias to 5 or 8 percent, and this one compares an extracted threshold across gate lengths to 10.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,2.421708952636e-09,-1.420897170668e-09,1.198400102521e-08,-1.420932738977e-09
-0.35,2.422265051977e-09,-1.421374513584e-09,1.415663713197e-08,-1.421536943927e-09
-0.3,3.510765049773e-09,-3.260444534082e-09,1.415989903699e-08,-3.261194262951e-09
-0.25,6.780429065660e-09,-5.107382301613e-09,1.851889812390e-08,-8.784610371704e-09
-0.2,2.308321915957e-08,-2.345243064808e-08,3.805371073036e-08,-2.897970285753e-08
-0.15,1.027430581310e-07,-1.041444270639e-07,1.415272504877e-07,-1.317066737511e-07
-0.1,4.832927298468e-07,-4.840318803185e-07,6.310455734911e-07,-6.199948155443e-07
-0.05,2.320708329069e-06,-2.323100677606e-06,3.009932088919e-06,-3.000334877770e-06
0,1.128955041295e-05,-1.128691976328e-05,1.465482125309e-05,-1.464382697012e-05
0.05,5.531226773364e-05,-5.531524054272e-05,7.209135986988e-05,-7.208109863476e-05
0.1,2.726029256913e-04,-2.725692314166e-04,3.569703533401e-04,-3.569604268467e-04
0.15,1.342703000718e-03,-1.343037235042e-03,1.769601866760e-03,-1.769594530493e-03
0.2,6.484485826386e-03,-6.484489666653e-03,8.625343227405e-03,-8.625331914373e-03
0.25,2.860913505979e-02,-2.860923288554e-02,3.891560416156e-02,-3.891559257004e-02
0.3,9.938372238029e-02,-9.938372670222e-02,1.438054279976e-01,-1.438054165686e-01
0.35,2.439952387197e-01,-2.439952376133e-01,4.001935296205e-01,-4.001935198102e-01
0.4,4.468709973310e-01,-4.468710952580e-01,8.672465870915e-01,-8.672465746126e-01
0.45,6.803517445938e-01,-6.803520911319e-01,1.573609532406e+00,-1.573609528560e+00
0.5,9.275729304764e-01,-9.275729362205e-01,2.529850894507e+00,-2.529850887284e+00
0.55,1.180212306952e+00,-1.180212392215e+00,3.738157642110e+00,-3.738157628622e+00
0.6,1.434091132886e+00,-1.434091131685e+00,5.196823232621e+00,-5.196823219378e+00
