# written 2026-09-24 by tools/scoreboard.py cases
# seed 20260924, split (('pn_diode', 60), ('mos_cap', 40), ('nmos', 100)), 4 significant digits
# knobs not listed keep the constructor default
case,device,knobs,redraws
d001,pn_diode,"{""Na"": 213600000000000.0, ""Nd"": 604700000000000.0, ""length"": 0.000198, ""junction"": 5.16e-05, ""anode_voltage"": -4.749}",0
d002,pn_diode,"{""Na"": 1.365e+17, ""Nd"": 3.31e+16, ""length"": 0.0002707, ""junction"": 2.847e-05, ""anode_voltage"": -2.959}",0
d003,pn_diode,"{""Na"": 1.329e+18, ""Nd"": 3.299e+18, ""length"": 3.644e-05, ""junction"": 2.291e-05, ""anode_voltage"": -4.236}",1
d004,pn_diode,"{""Na"": 2598000000000000.0, ""Nd"": 269300000000000.0, ""length"": 6.263e-05, ""junction"": 2.138e-05, ""anode_voltage"": -3.503}",0
d005,pn_diode,"{""Na"": 2.728e+18, ""Nd"": 580000000000000.0, ""length"": 0.0009576, ""junction"": 6.019e-05, ""anode_voltage"": -1.73}",2
d006,pn_diode,"{""Na"": 2.171e+18, ""Nd"": 3.162e+18, ""length"": 0.0009473, ""junction"": 5.462e-05, ""anode_voltage"": -0.2298}",0
d007,pn_diode,"{""Na"": 9176000000000000.0, ""Nd"": 229200000000000.0, ""length"": 9.425e-05, ""junction"": 8.289e-05, ""anode_voltage"": -3.291}",1
d008,pn_diode,"{""Na"": 1.702e+16, ""Nd"": 1.317e+16, ""length"": 0.0001097, ""junction"": 2.831e-05, ""anode_voltage"": -1.348}",2
d009,pn_diode,"{""Na"": 3.721e+18, ""Nd"": 7.308e+18, ""length"": 7.365e-05, ""junction"": 3.18e-05, ""anode_voltage"": -4.814}",0
d010,pn_diode,"{""Na"": 7.936e+16, ""Nd"": 2.123e+17, ""length"": 0.000843, ""junction"": 6.952e-05, ""anode_voltage"": -0.422}",0
d011,pn_diode,"{""Na"": 8218000000000000.0, ""Nd"": 6.504e+17, ""length"": 0.0004339, ""junction"": 4.167e-05, ""anode_voltage"": 0.2465}",1
d012,pn_diode,"{""Na"": 7.136e+17, ""Nd"": 377500000000000.0, ""length"": 0.0006929, ""junction"": 3.018e-05, ""anode_voltage"": -3.418}",2
d013,pn_diode,"{""Na"": 1.03e+17, ""Nd"": 775900000000000.0, ""length"": 3.278e-05, ""junction"": 1.207e-05, ""anode_voltage"": -4.423}",0
d014,pn_diode,"{""Na"": 1271000000000000.0, ""Nd"": 290900000000000.0, ""length"": 5.591e-05, ""junction"": 4.729e-05, ""anode_voltage"": -4.847}",0
