# written 2026-09-26 by tools/scoreboard.py
# ddsim b29c3d0, refinements (1.0, 1.5, 2.25), biases {'diode': 0.6, 'mos_cap': 0.0, 'mosfet': (1.0, 0.05)}, mosfet gate capped at its golden curve's last point
benchmark,name,refine,nodes,value,seconds
1,diode_1e16_1e16,1.0,201,20.978765989068076,0.335
1,diode_1e16_1e16,1.5,301,20.97451080543401,0.315
1,diode_1e16_1e16,2.25,451,20.971738636591407,0.392
2,diode_1e18_1e16,1.0,201,6.497315176630107,0.301
2,diode_1e18_1e16,1.5,301,6.499945462068563,0.366
2,diode_1e18_1e16,2.25,451,6.501748996192635,0.359
3,diode_1e20_1e15,1.0,201,57.04621198681192,0.379
3,diode_1e20_1e15,1.5,301,57.08153065160651,0.310
3,diode_1e20_1e15,2.25,451,57.10436269371848,0.398
4,mos_cap_5nm,1.0,121,3.806202145886787e-07,0.022
4,mos_cap_5nm,1.5,181,3.804095263487035e-07,0.034
4,mos_cap_5nm,2.25,271,3.8031410508780583e-07,0.043
5,mos_cap_20nm,1.0,121,3.235545691536882e-08,0.017
5,mos_cap_20nm,1.5,181,3.235340086055715e-08,0.029
5,mos_cap_20nm,2.25,271,3.235247930433089e-08,0.028
6,nmos_1um,1.0,6363,0.6969778763031851,29.533
6,nmos_1um,1.5,14043,0.6966359217674711,91.397
6,nmos_1um,2.25,31866,0.6964459925715042,320.388
7,nmos_180nm,1.0,6363,3.728692431164121,27.675
7,nmos_180nm,1.5,14043,3.7263114337323704,89.591
7,nmos_180nm,2.25,31866,3.724407597225937,308.506
8,nmos_65nm,1.0,6363,9.53072840834679,28.172
8,nmos_65nm,1.5,14043,9.523277831687247,86.467
8,nmos_65nm,2.25,31866,9.51466052130832,304.790
9,rolloff_100nm,1.0,6363,3.2130497454983145,20.574
9,rolloff_100nm,1.5,14043,3.2106565746788447,64.298
9,rolloff_100nm,2.25,31866,3.2089108750161133,225.256
10,fullstack_100nm,1.0,6363,0.3263272359621671,45.225
10,fullstack_100nm,1.5,14043,0.3284524190276945,126.152
10,fullstack_100nm,2.25,31866,0.3300519176729756,414.029
