# written 2026-09-26 by devsim_gen/scoreboard.py accuracy
# devsim 2.11.0, refinements (1.0, 1.5, 2.25)
# default MKL threading; MOSFET gate capped at the golden curve's last point; each benchmark's accuracy_point rows run side by side at b29c3d0 and concatenated here
benchmark,name,refine,nodes,value,seconds
1,diode_1e16_1e16,1.0,129,20.98064682833861,1.895
1,diode_1e16_1e16,1.5,193,20.975318457302976,1.903
1,diode_1e16_1e16,2.25,289,20.971906062949923,2.694
2,diode_1e18_1e16,1.0,129,6.497887867807731,2.080
2,diode_1e18_1e16,1.5,193,6.500240514698491,1.745
2,diode_1e18_1e16,2.25,289,6.502029404353639,0.949
3,diode_1e20_1e15,1.0,129,57.06507048052677,1.428
3,diode_1e20_1e15,1.5,193,57.096353344752764,1.475
3,diode_1e20_1e15,2.25,289,57.11671752817944,1.590
4,mos_cap_5nm,1.0,1065,3.801546929191256e-07,3.274
4,mos_cap_5nm,1.5,1597,3.8015242425452147e-07,0.823
4,mos_cap_5nm,2.25,2396,3.801514104779862e-07,1.003
5,mos_cap_20nm,1.0,1065,3.236066107526933e-08,1.475
5,mos_cap_20nm,1.5,1597,3.236063686180881e-08,1.781
5,mos_cap_20nm,2.25,2396,3.236062609514324e-08,6.622
6,nmos_1um,1.0,8514,0.6964654745468288,419.193
6,nmos_1um,1.5,17177,0.6962217092208383,8537.689
6,nmos_1um,2.25,35588,0.6961435728110749,1353.112
7,nmos_180nm,1.0,6402,3.7260473556818123,135.113
7,nmos_180nm,1.5,13083,3.722981411412473,156.789
7,nmos_180nm,2.25,27156,3.7217207187802983,535.011
8,nmos_65nm,1.0,6930,9.52825838220821,126.654
8,nmos_65nm,1.5,14151,9.51384160508584,268.533
8,nmos_65nm,2.25,29636,9.502097115768297,597.594
9,rolloff_100nm,1.0,6666,3.2099216824851213,436.928
9,rolloff_100nm,1.5,13617,3.2075722351084766,1345.183
9,rolloff_100nm,2.25,28644,3.205579869528961,1648.235
10,fullstack_100nm,1.0,6666,0.33267706475594994,299.173
10,fullstack_100nm,1.5,13617,0.33247164520436545,871.639
10,fullstack_100nm,2.25,28644,0.3320197033959553,1645.294
